subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total,output_channel_count,output_bytes_complex_double,weight_memory_bytes,estimated_data_movement_bytes,incremental_cost_over_conventional,eta_design,eta_validation,eta_holdout,eta_parent_relative,worst_design_scenario_id,worst_validation_scenario_id,worst_holdout_scenario_id,minimum_whitening_rank,minimum_manifold_rank,minimum_fim_rank,data_processing_violation_count,runtime,offline_subset_design_runtime,status,covariance_decomposition_count,whitener_eigendecomposition_count,fim_evaluation_count,generalized_eigenvalue_evaluation_count,measured_online_dbf_runtime
RECT_E03_A05,3,5,1;2,1;3,1;2;11;12,2,2,4,4160,260,4420,4,64,133120,33344,2275,0.000209434465744682,0.0754615600950755,0.000723799320494795,0.000247387116698687,D0272,V0270,H0041,4,2,4,0,0.2421464,0.2421464,FIM_SCENARIO_VALID,2,2,1184,2368,3.901171875e-06
RECT_E03_A06,3,6,1;2,2;3,6;7;11;12,2,2,4,4160,260,4420,4,64,133120,33344,2275,8.65774808251289e-05,0.126483986836017,6.30117669313273e-05,8.7894643251142e-05,D0318,V0266,H0085,4,2,4,0,0.2318644,0.2318644,FIM_SCENARIO_VALID,2,2,1184,2368,3.901171875e-06
RECT_E03_A07,3,7,1;2,1;2;3,1;2;6;7;11;12,2,3,6,4160,390,4550,6,96,199680,33376,2405,0.00352623944363292,0.387250518024723,0.00589868394326763,0.00385501724220181,D0574,V0176,H0085,6,2,4,0,0.2245056,0.2245056,FIM_SCENARIO_VALID,2,2,1184,2368,3.9181640625e-06
RECT_E03_A08,3,8,1;2,4,16;17,2,1,2,4160,130,4290,2,32,66560,33312,2145,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2345296,0.2345296,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,3.78984375e-06
RECT_E03_A09,3,9,1;2,1;4,1;2;16;17,2,2,4,4160,260,4420,4,64,133120,33344,2275,0.000117996850132905,0.0819297266085238,8.12258036945476e-05,0.000128068407667869,D0318,V0270,H0085,4,2,4,0,0.2260894,0.2260894,FIM_SCENARIO_VALID,2,2,1184,2368,3.901171875e-06
RECT_E03_A10,3,10,1;2,2;4,6;7;16;17,2,2,4,4160,260,4420,4,64,133120,33344,2275,1.3946622694835e-05,0.158737088059212,0.000470649297075908,1.43828203497615e-05,D0062,V0014,H0041,4,2,4,0,0.2365972,0.2365972,FIM_SCENARIO_VALID,2,2,1184,2368,3.901171875e-06
RECT_E03_A11,3,11,1;2,1;2;4,1;2;6;7;16;17,2,3,6,4160,390,4550,6,96,199680,33376,2405,0.00398492270970491,0.36466633504837,0.00606707863110738,0.00435640357989631,D0574,V0176,H0085,6,2,4,0,0.2239536,0.2239536,FIM_SCENARIO_VALID,2,2,1184,2368,3.9181640625e-06
RECT_E03_A12,3,12,1;2,3;4,11;12;16;17,2,2,4,4160,260,4420,4,64,133120,33344,2275,0.000111145609920584,0.125375011033052,0.000420398401605035,0.000116901331993928,D0574,V0014,H0041,4,2,4,0,0.2268031,0.2268031,FIM_SCENARIO_VALID,2,2,1184,2368,3.901171875e-06
RECT_E03_A13,3,13,1;2,1;3;4,1;2;11;12;16;17,2,3,6,4160,390,4550,6,96,199680,33376,2405,0.004473776338371,0.359418268629137,0.0061407500386707,0.00489081771037444,D0574,V0176,H0085,6,2,4,0,0.2395512,0.2395512,FIM_SCENARIO_VALID,2,2,1184,2368,3.9181640625e-06
RECT_E03_A14,3,14,1;2,2;3;4,6;7;11;12;16;17,2,3,6,4160,390,4550,6,96,199680,33376,2405,0.00506924469410559,0.37406829112699,0.00614726910828144,0.00554167324087262,D0318,V0176,H0085,6,2,4,0,0.2282064,0.2282064,FIM_SCENARIO_VALID,2,2,1184,2368,3.9181640625e-06
