domain,method_id,profile_id,nominal_snr_db,L,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_count,resolution_success_count,rho_lower_bound_hit_count,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_A,6,8,20,20,20,0,0,1,20,20,0,1,1,0.0121170445165286,0.019502704079881,0.0266919544306194,0.0436042106890602,0.950793681261021,2.6066371201226,0.0409740578142126,0.068761303596296,78.0544363,4.0156475,4.09239085,92518,92518,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_A,10,8,20,20,20,0,0,1,20,20,0,1,1,0.00791296983750217,0.0129149855100683,0.0178011855834231,0.0278745391799433,0.57441002982031,1.61040145717498,0.0257529689175532,0.0461298555983196,78.1290219,4.03210775,4.08626465,91900,91900,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_A,14,8,20,20,20,0,0,1,20,20,0,1,1,0.00525755915134732,0.00872298995946539,0.0121752579619848,0.0183542988971722,0.347610960496394,1.0018157811136,0.013797286287576,0.0318295526622737,75.7563727,3.99412915,4.0723923,89627,89627,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_A,18,8,20,20,20,0,0,1,20,20,0,1,1,0.00371785320048731,0.00606832144122447,0.00901497412986682,0.012364507503301,0.209892160825246,0.628548270398361,0.00979930019430322,0.0228334741585837,77.4520471,3.97276435,4.04873715,92536,92536,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_A,22,8,20,20,20,0,0,1,20,20,0,1,1,0.00283269702026939,0.004325376264764,0.00639260276410965,0.00887170483741511,0.129898946492522,0.398007332647104,0.00894533698340674,0.0171818142713202,76.5809685,3.94871355,4.02953805,91925,91925,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_B,-6,8,20,20,20,0,0,1,20,18,0,1,0.9,0.0382091016781327,0.0704397683512041,0.0818112820678176,0.138368055271223,2.56820031332484,8.02303958875314,0.0951254347442445,0.211234116216357,76.7687291,4.10514865,4.21562815,90530,90530,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_B,0,8,20,20,20,0,0,1,20,20,0,1,1,0.0200859561328581,0.0406843211460747,0.0449305541311202,0.0925311128970699,1.26194542537203,4.17075576427684,0.0632485857248323,0.146983492866648,78.0954485,4.0459366,4.15698715,92476,92476,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_B,6,8,20,20,20,0,0,1,20,20,0,1,1,0.0106162481690027,0.0244711932926176,0.0227150456708375,0.0510934827781665,0.717092090114612,2.01527472776232,0.0330750318908379,0.0807432019702932,77.7659398,4.06325625,4.1952636,91362,91362,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_B,10,8,20,20,20,0,0,1,20,20,0,1,1,0.00736916465309351,0.0152243408112109,0.0157358083985236,0.0316034305040246,0.473804084743808,1.28105870657799,0.0215774492567691,0.0603449835910402,78.6036127,4.0891479,4.1446046,92707,92707,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_B,14,8,20,20,20,0,0,1,20,20,0,1,1,0.00555826401379772,0.0119471800304968,0.0117360390158468,0.0262376251144412,0.285100321529105,0.809023529117475,0.0154477003714639,0.0475687237188467,75.9609992,4.03536455,4.0802094,90008,90008,0,"{""reason"":[],""count"":[]}"
