row_type,comparison_set,scope_type,scope_value,method_id,total_row_count,applicable_count,valid_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_separation_error_deg,p90_separation_error_deg,median_separation_vector_error_deg,p90_separation_vector_error_deg,median_runtime_sec,p90_runtime_sec,comparison_id,paired_count,wins,ties,losses
METHOD,NATURAL,L,1,FULL4D_ELEMENT_CML_MULTISTART,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
METHOD,NATURAL,L,4,FULL4D_ELEMENT_CML_MULTISTART,24,24,24,0.164849075164194,0.339412532238778,0.0963250797181775,0.308766711179446,4.69347857532609,23.7312515637259,0.158734889756945,0.403397803443327,0.163669311674284,0.411231101711839,14.7131242,96.61137747,,0,0,0,0
METHOD,NATURAL,L,8,FULL4D_ELEMENT_CML_MULTISTART,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
METHOD,NATURAL,NOISE,WHITE,FULL4D_ELEMENT_CML_MULTISTART,12,12,12,0.170257382695271,0.337301326422364,0.0871988797517211,0.281983258092336,12.4331787268238,27.0061064343304,0.158734889756945,0.327143103998348,0.163669311674284,0.339629232242871,4.81974235,4.99815115,,0,0,0,0
METHOD,NATURAL,NOISE,STAGE5_TOEPLITZ_CORRELATED,FULL4D_ELEMENT_CML_MULTISTART,12,12,12,0.131327368613551,0.339253567427354,0.11096039169166,0.313165875196239,2.55918301409899,13.9090224864001,0.136104174113231,0.416153173836995,0.137954293648497,0.42206344545048,95.74506425,96.73949778,,0,0,0,0
METHOD,NATURAL,PROFILE,P1,BEAMSPACE_MUSIC_K2,18,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45412849375,0.6734419125,,0,0,0,0
METHOD,NATURAL,PROFILE,P2,BEAMSPACE_MUSIC_K2,18,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45073749375,0.6750825525,,0,0,0,0
METHOD,NATURAL,PROFILE,P3,BEAMSPACE_MUSIC_K2,18,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45312044375,0.6735017325,,0,0,0,0
METHOD,NATURAL,PROFILE,P4,BEAMSPACE_MUSIC_K2,18,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45418504375,0.6734295525,,0,0,0,0
METHOD,NATURAL,SNR_DB,-6,BEAMSPACE_MUSIC_K2,24,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45406674375,0.6756931625,,0,0,0,0
