scenario,data_split,trial_id,method,score,rss,normalized_score_gap_to_local_full,success_flag,wrong_local_peak_flag,num_score_eval_total,statistical_calibration_status,domain_hash,phase_factor
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,8,LOCAL_FULL_DML_REFERENCE,19350.6037641282,18.5211534804585,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,8,CONVENTIONAL_DBF,19068.6868787401,300.438038868509,0.0145688934993679,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,9,MAIN_GROUPED_CONDITIONAL_JOINT,19350.522260231,18.5786682287508,2.71036025905322e-06,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,9,GROUPED_CONDITIONAL_ONLY,19306.0014777061,63.0994507537107,0.00230345766097138,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,9,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19350.5747072597,18.5262212000525,-1.12802194109311e-15,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,9,LOCAL_FULL_DML_REFERENCE,19350.5747072597,18.5262212000744,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,9,CONVENTIONAL_DBF,19068.626830491,300.474097968759,0.0145705169502231,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,10,MAIN_GROUPED_CONDITIONAL_JOINT,19350.7625248653,18.5836144327368,3.74944133806694e-06,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,10,GROUPED_CONDITIONAL_ONLY,19306.2793846168,63.0667546812838,0.00230252053133839,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,10,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19350.8350796863,18.5110596117302,-1.69201014472995e-15,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,10,LOCAL_FULL_DML_REFERENCE,19350.8350796863,18.5110596117629,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,10,CONVENTIONAL_DBF,19068.7976068987,300.548532399323,0.014574950984086,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,11,MAIN_GROUPED_CONDITIONAL_JOINT,19350.3889344831,18.5498049267408,7.52021847087258e-16,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,11,GROUPED_CONDITIONAL_ONLY,19305.8634258842,63.0753135256891,0.00230101362560298,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,11,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19350.3889344831,18.5498049267408,7.52021847087258e-16,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,11,LOCAL_FULL_DML_REFERENCE,19350.3889344831,18.5498049267262,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,11,CONVENTIONAL_DBF,19068.6151685375,300.323570872406,0.0145616590395012,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,12,MAIN_GROUPED_CONDITIONAL_JOINT,19349.6735729897,18.551509672634,5.49509951182698e-07,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,12,GROUPED_CONDITIONAL_ONLY,19305.1358391235,63.0892435387941,0.0023022787470998,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,12,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19349.6842058337,18.5408768285924,-9.40061545292535e-16,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,12,LOCAL_FULL_DML_REFERENCE,19349.6842058337,18.5408768286106,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,12,CONVENTIONAL_DBF,19067.7114346567,300.513648005606,0.0145724740609454,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,13,MAIN_GROUPED_CONDITIONAL_JOINT,19349.7533391463,18.5606008456489,3.14017630684871e-07,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,13,GROUPED_CONDITIONAL_ONLY,19305.2307263064,63.0832136854806,0.00230125285021379,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,13,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19349.7594153119,18.5545246800357,-3.76023156568335e-16,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,13,LOCAL_FULL_DML_REFERENCE,19349.7594153119,18.554524680043,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,13,CONVENTIONAL_DBF,19067.8239183663,300.490021625581,0.0145704910792036,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,14,MAIN_GROUPED_CONDITIONAL_JOINT,19350.3432677346,18.5301502208495,3.76011810928211e-16,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
